idx,is_fail,px_mm,py_mm,pz_mm
1,False,149.0,-675.0,-27.0
2,False,149.0,-665.0,-27.0
3,False,152.0,-665.0,-27.0
4,False,149.0,-685.0,-27.0
5,False,149.0,-686.0,-27.0
6,False,149.0,-676.0,-27.0
7,False,149.0,-675.0,-27.0
8,False,146.0,-681.0,-27.0
9,False,149.0,-679.0,-27.0
10,False,144.0,-676.0,-27.0
11,False,149.0,-677.0,-27.0
12,False,139.0,-672.0,-27.0
13,False,149.0,-686.0,-27.0
14,False,144.0,-681.0,-27.0
15,False,149.0,-675.0,-27.0
16,False,147.0,-681.0,-27.0
17,False,149.0,-678.0,-27.0
18,False,149.0,-663.0,-27.0
19,False,149.0,-663.0,-27.0
20,False,149.0,-670.0,-27.0
21,False,144.0,-687.0,-27.0
22,False,147.0,-685.0,-27.0
23,False,149.0,-678.0,-27.0
24,False,149.0,-670.0,-27.0
25,False,149.0,-672.0,-27.0
26,False,152.0,-686.0,-27.0
27,False,154.0,-657.0,-27.0
28,False,146.0,-670.0,-27.0
29,False,146.0,-665.0,-27.0
30,False,149.0,-663.0,-27.0
31,False,149.0,-665.0,-27.0
32,False,149.0,-679.0,-27.0
33,False,149.0,-690.0,-27.0
34,False,149.0,-669.0,-27.0
35,False,149.0,-663.0,-27.0
36,False,154.0,-653.0,-27.0
37,False,149.0,-692.0,-27.0
38,True,-1.0,-1.0,-1.0
39,True,-1.0,-1.0,-1.0
40,True,-1.0,-1.0,-1.0
41,True,-1.0,-1.0,-1.0
42,False,149.0,-683.0,-27.0
43,False,154.0,-695.0,-27.0
44,False,149.0,-680.0,-27.0
45,False,149.0,-690.0,-27.0
46,False,149.0,-687.0,-27.0
47,False,149.0,-672.0,-27.0
48,False,149.0,-678.0,-27.0
49,False,149.0,-682.0,-27.0
50,False,149.0,-690.0,-27.0
51,False,155.0,-685.0,-27.0
52,False,149.0,-678.0,-27.0
53,False,149.0,-669.0,-27.0
54,False,149.0,-679.0,-27.0
55,False,152.0,-673.0,-27.0
56,False,149.0,-674.0,-27.0
57,False,149.0,-682.0,-27.0
58,False,149.0,-676.0,-27.0
59,False,153.0,-683.0,-27.0
60,False,150.0,-681.0,-27.0
61,False,149.0,-683.0,-27.0
62,False,156.0,-678.0,-27.0
63,False,149.0,-684.0,-27.0
64,False,149.0,-675.0,-27.0
65,False,161.0,-675.0,-27.0
66,False,149.0,-676.0,-27.0
67,False,144.0,-667.0,-27.0
68,False,149.0,-680.0,-27.0
69,False,149.0,-675.0,-27.0
70,False,149.0,-678.0,-27.0
71,False,149.0,-676.0,-27.0
72,False,149.0,-678.0,-27.0
73,False,149.0,-662.0,-27.0
74,False,149.0,-659.0,-27.0
75,False,149.0,-659.0,-27.0
76,False,149.0,-665.0,-27.0
77,False,149.0,-665.0,-27.0
78,False,149.0,-662.0,-27.0
79,False,149.0,-662.0,-27.0
80,False,148.0,-664.0,-27.0
81,False,149.0,-663.0,-27.0
82,False,148.0,-662.0,-27.0
83,False,149.0,-662.0,-27.0
84,False,150.0,-660.0,-27.0
85,False,149.0,-665.0,-27.0
86,False,147.0,-663.0,-27.0
87,False,149.0,-662.0,-27.0
88,False,148.0,-663.0,-27.0
89,False,149.0,-662.0,-27.0
90,False,149.0,-658.0,-27.0
91,False,149.0,-658.0,-27.0
92,False,149.0,-660.0,-27.0
93,False,148.0,-665.0,-27.0
94,False,148.0,-664.0,-27.0
95,False,149.0,-663.0,-27.0
96,False,149.0,-660.0,-27.0
97,False,149.0,-660.0,-27.0
98,False,150.0,-665.0,-27.0
99,False,150.0,-656.0,-27.0
100,False,148.0,-660.0,-27.0
101,False,148.0,-659.0,-27.0
102,False,149.0,-658.0,-27.0
103,False,149.0,-659.0,-27.0
104,False,149.0,-662.0,-27.0
105,False,149.0,-666.0,-27.0
106,False,149.0,-660.0,-27.0
107,False,149.0,-658.0,-27.0
108,False,150.0,-655.0,-27.0
109,False,149.0,-667.0,-27.0
110,True,-1.0,-1.0,-1.0
111,True,-1.0,-1.0,-1.0
112,False,149.0,-664.0,-27.0
113,True,-1.0,-1.0,-1.0
114,True,-1.0,-1.0,-1.0
115,False,150.0,-668.0,-27.0
116,False,149.0,-663.0,-27.0
117,False,149.0,-666.0,-27.0
118,False,149.0,-666.0,-27.0
119,False,149.0,-660.0,-27.0
120,False,149.0,-662.0,-27.0
121,False,149.0,-664.0,-27.0
122,False,149.0,-667.0,-27.0
123,False,151.0,-665.0,-27.0
124,False,149.0,-662.0,-27.0
125,False,149.0,-660.0,-27.0
126,False,149.0,-663.0,-27.0
127,False,149.0,-661.0,-27.0
128,False,149.0,-661.0,-27.0
129,False,149.0,-663.0,-27.0
130,False,149.0,-662.0,-27.0
131,False,150.0,-664.0,-27.0
132,False,149.0,-663.0,-27.0
133,False,149.0,-664.0,-27.0
134,False,151.0,-662.0,-27.0
135,False,149.0,-665.0,-27.0
136,False,149.0,-662.0,-27.0
137,False,152.0,-661.0,-27.0
138,False,149.0,-661.0,-27.0
139,False,147.0,-660.0,-27.0
140,False,149.0,-663.0,-27.0
141,False,149.0,-662.0,-27.0
142,False,149.0,-662.0,-27.0
143,False,149.0,-661.0,-27.0
144,False,149.0,-662.0,-27.0
145,False,149.0,-666.0,-27.0
146,False,149.0,-663.0,-27.0
147,False,150.0,-664.0,-27.0
148,False,149.0,-670.0,-27.0
149,False,149.0,-670.0,-27.0
150,False,149.0,-667.0,-27.0
151,False,149.0,-666.0,-27.0
152,False,148.0,-668.0,-27.0
153,False,149.0,-667.0,-27.0
154,False,148.0,-667.0,-27.0
155,False,149.0,-667.0,-27.0
156,False,146.0,-665.0,-27.0
157,False,149.0,-670.0,-27.0
158,False,148.0,-668.0,-27.0
159,False,149.0,-666.0,-27.0
160,False,149.0,-668.0,-27.0
161,False,149.0,-667.0,-27.0
162,False,149.0,-663.0,-27.0
163,False,149.0,-663.0,-27.0
164,False,149.0,-665.0,-27.0
165,False,148.0,-670.0,-27.0
166,False,149.0,-670.0,-27.0
167,False,149.0,-667.0,-27.0
168,False,149.0,-665.0,-27.0
169,False,149.0,-665.0,-27.0
170,False,150.0,-670.0,-27.0
171,False,151.0,-661.0,-27.0
172,False,149.0,-665.0,-27.0
173,False,149.0,-663.0,-27.0
174,False,149.0,-663.0,-27.0
175,False,149.0,-664.0,-27.0
176,False,149.0,-667.0,-27.0
177,False,149.0,-671.0,-27.0
178,False,149.0,-665.0,-27.0
179,False,149.0,-663.0,-27.0
180,False,149.0,-662.0,-27.0
181,True,-1.0,-1.0,-1.0
182,True,-1.0,-1.0,-1.0
183,True,-1.0,-1.0,-1.0
184,False,151.0,-667.0,-27.0
185,True,-1.0,-1.0,-1.0
186,True,-1.0,-1.0,-1.0
187,False,150.0,-673.0,-27.0
188,False,149.0,-668.0,-27.0
189,False,149.0,-671.0,-27.0
190,False,149.0,-670.0,-27.0
191,False,149.0,-665.0,-27.0
192,False,149.0,-667.0,-27.0
193,False,149.0,-669.0,-27.0
194,False,149.0,-671.0,-27.0
195,False,151.0,-670.0,-27.0
196,False,149.0,-667.0,-27.0
197,False,149.0,-665.0,-27.0
198,False,149.0,-667.0,-27.0
199,False,150.0,-666.0,-27.0
200,False,149.0,-666.0,-27.0
201,False,149.0,-668.0,-27.0
202,False,149.0,-667.0,-27.0
203,False,150.0,-669.0,-27.0
204,False,149.0,-668.0,-27.0
205,False,149.0,-669.0,-27.0
206,False,151.0,-667.0,-27.0
207,False,149.0,-669.0,-27.0
208,False,149.0,-666.0,-27.0
209,False,153.0,-666.0,-27.0
210,False,149.0,-666.0,-27.0
211,False,148.0,-664.0,-27.0
212,False,149.0,-668.0,-27.0
213,False,149.0,-666.0,-27.0
214,False,149.0,-667.0,-27.0
215,False,149.0,-666.0,-27.0
216,False,149.0,-667.0,-27.0
217,False,149.0,-664.0,-27.0
218,False,149.0,-662.0,-27.0
219,False,149.0,-662.0,-27.0
220,False,149.0,-668.0,-27.0
221,False,149.0,-668.0,-27.0
222,False,149.0,-665.0,-27.0
223,False,149.0,-664.0,-27.0
224,False,148.0,-667.0,-27.0
225,False,149.0,-666.0,-27.0
226,False,147.0,-665.0,-27.0
227,False,149.0,-665.0,-27.0
228,False,145.0,-663.0,-27.0
229,False,149.0,-669.0,-27.0
230,False,147.0,-666.0,-27.0
231,False,149.0,-664.0,-27.0
232,False,148.0,-666.0,-27.0
233,False,148.0,-666.0,-27.0
234,False,149.0,-661.0,-27.0
235,False,148.0,-661.0,-27.0
236,False,149.0,-663.0,-27.0
237,False,147.0,-669.0,-27.0
238,False,149.0,-668.0,-27.0
239,False,149.0,-666.0,-27.0
240,False,149.0,-663.0,-27.0
241,False,148.0,-664.0,-27.0
242,False,150.0,-667.0,-27.0
243,False,150.0,-659.0,-27.0
244,False,148.0,-663.0,-27.0
245,False,148.0,-662.0,-27.0
246,False,149.0,-660.0,-27.0
247,False,148.0,-662.0,-27.0
248,False,149.0,-665.0,-27.0
249,False,149.0,-670.0,-27.0
250,False,149.0,-663.0,-27.0
251,False,148.0,-662.0,-27.0
252,False,149.0,-657.0,-27.0
253,False,148.0,-675.0,-27.0
254,True,-1.0,-1.0,-1.0
255,True,-1.0,-1.0,-1.0
256,False,149.0,-666.0,-27.0
257,True,-1.0,-1.0,-1.0
258,True,-1.0,-1.0,-1.0
259,False,150.0,-671.0,-27.0
260,True,-1.0,-1.0,-1.0
261,False,149.0,-669.0,-27.0
262,False,149.0,-668.0,-27.0
263,False,148.0,-663.0,-27.0
264,False,149.0,-666.0,-27.0
265,False,149.0,-667.0,-27.0
266,False,149.0,-670.0,-27.0
267,False,150.0,-667.0,-27.0
268,False,149.0,-666.0,-27.0
269,False,149.0,-663.0,-27.0
270,False,149.0,-666.0,-27.0
271,False,149.0,-664.0,-27.0
272,False,149.0,-665.0,-27.0
273,False,149.0,-667.0,-27.0
274,False,149.0,-664.0,-27.0
275,False,150.0,-667.0,-27.0
276,False,149.0,-666.0,-27.0
277,False,149.0,-668.0,-27.0
278,False,151.0,-666.0,-27.0
279,False,149.0,-667.0,-27.0
280,False,149.0,-664.0,-27.0
281,False,153.0,-665.0,-27.0
282,False,148.0,-665.0,-27.0
283,False,148.0,-663.0,-27.0
284,False,149.0,-666.0,-27.0
285,False,149.0,-664.0,-27.0
286,False,149.0,-665.0,-27.0
287,False,148.0,-665.0,-27.0
288,False,149.0,-665.0,-27.0
