config_id,robot_initial_pose_x,robot_initial_pose_y,robot_initial_pose_z,robot_initial_pose_q1,robot_initial_pose_q2,robot_initial_pose_q3,robot_initial_pose_q4,initial_mass_measured_g,width_top_est_mm_vision,width_bottom_est_mm_vision,height_est_mm_vision,geometry_est_timepoint,mass_full_est_g_vision,mass_full_est_vision_timepoint,fill_level_est_percent_vision,fill_level_vision_timepoint,spill_observed_during_human_maneuvering,robot_mass_est_available,robot_mass_est_g,robot_mass_est_timepoint,delivery_location_est_x_mm,delivery_location_est_y_mm,delivery_location_est_z_mm,final_mass_null_flag,final_mass_measured_g,t_human_first_contact_ms,t_human_last_contact_ms,t_robot_first_contact_ms,t_robot_last_contact_ms
1,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-15,0,0,11,0,6050,6050,16400
2,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-5,0,0,11,0,6260,6260,16200
3,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,3,-5,0,0,11,0,9780,9780,19540
4,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-25,0,0,11,0,7900,7900,17980
5,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-26,0,0,11,0,6880,6880,16550
6,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-16,0,0,11,0,9380,9380,18070
7,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-15,0,0,11,0,6900,6900,16430
8,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-3,-21,0,0,11,0,5690,5690,15020
9,0,0,0,0,0,0,1,11,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-19,0,0,11,0,5720,5720,14720
10,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-5,-16,0,0,102,0,6950,6950,16810
11,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-17,0,0,102,0,4760,4760,15120
12,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-10,-12,0,0,102,0,5250,5250,15820
13,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-26,0,0,102,0,5840,5840,14720
14,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-5,-21,0,0,102,0,3870,3870,14230
15,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-15,0,0,102,0,7090,7090,16780
16,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-2,-21,0,0,102,0,7310,7310,17060
17,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-18,0,0,102,0,6290,6290,15930
18,0,0,0,0,0,0,1,102,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,102,0,6720,6720,15340
19,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-3,0,0,17,0,5650,5650,15440
20,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-10,0,0,17,0,6850,6850,16580
21,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-5,-27,0,0,17,0,5950,5950,15500
22,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,-2,-25,0,0,17,0,6890,6890,16660
23,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-18,0,0,17,0,5790,5790,14010
24,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-10,0,0,17,0,6860,6860,16120
25,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,0,-12,0,0,17,0,5900,5900,15470
26,0,0,0,0,0,0,1,17,-1,-1,-1,unknown,-1,unknown,-1,unknown,0,-1,-1,unknown,3,-26,0,0,17,0,6080,6080,16070
